Name,amplifications,neutral,deletions,average
EIF4E2,11.0,68.0,21.0,-0.010401000000000002
EIF4E3,8.0,76.0,16.0,0.028915371437217886
EIF4EBP1,17.0,49.0,34.0,-0.009387000000000005
EIF4EBP2,9.0,78.0,13.0,0.03059600000000001
EIF4EBP3,4.0,63.0,33.0,-0.08261376248790993
EIF4ENIF1,2.0,42.0,56.0,-0.21854273205627095
EIF4G1,60.0,35.0,5.0,0.3511959999999999
EIF4G3,3.0,66.0,31.0,-0.08290072055165004
EIF4H,12.0,79.0,9.0,0.06177881220242989
EIF5,14.0,64.0,22.0,0.019275738783430012
EIF5A,7.0,45.0,48.0,-0.15450716366093997
EIF5A2,67.0,31.0,2.0,0.4585371578610702
EIF5AL1,17.0,67.0,16.0,0.0626709999999999
EIF5B,9.0,83.0,8.0,0.05972757784299701
EIF6,34.0,60.0,6.0,0.21746700000000008
ELAC1,5.0,42.0,53.0,-0.191344
ELAC2,3.0,22.0,75.0,-0.3428303427749599
ELANE,0.0,22.0,78.0,-0.4096925487690601
ELAVL1,14.0,49.0,37.0,-0.02160498524523002
ELAVL2,13.0,61.0,26.0,-0.014118241546998908
ELAVL3,16.0,63.0,21.0,0.09818061207594299
ELAVL4,12.0,78.0,10.0,0.075089931570173
ELF1,1.0,48.0,51.0,-0.20365411156518987
ELF2,4.0,54.0,42.0,-0.153832703823932
ELF3,27.0,69.0,4.0,0.1651739999999999
ELF5,8.0,73.0,19.0,0.0031645314836230083
ELFN1,8.0,58.0,34.0,-0.12027700000000018
ELFN2,4.0,37.0,59.0,-0.21654000000000004
ELK3,4.0,71.0,25.0,-0.08606799999999991
ELK4,21.0,71.0,8.0,0.12999317812489988
ELL,21.0,68.0,11.0,0.1341185971573151
ELL2,3.0,47.0,50.0,-0.1864461866539301
ELL3,5.0,54.0,41.0,-0.1410534314315302
ELMO1,11.0,76.0,13.0,0.06975013773846
ELMO2,40.0,59.0,1.0,0.271411112787198
ELMO3,1.0,37.0,62.0,-0.29275361043826
ELMOD1,16.0,62.0,22.0,0.019073240421763095
ELMOD2,5.0,54.0,41.0,-0.14412500000000011
ELMOD3,19.0,75.0,6.0,0.11961251601018497
ELMSAN1,2.0,58.0,40.0,-0.1356554442623799
ELN,13.0,77.0,10.0,0.054916139751327926
ELOF1,17.0,62.0,21.0,0.09355600000000003
ELOVL1,20.0,72.0,8.0,0.15044536997385
ELOVL2,28.0,54.0,18.0,0.133310308318484
ELOVL3,6.0,66.0,28.0,-0.08089258662186
ELOVL4,16.0,69.0,15.0,0.08043199999999989
